id	redshift	xray_boxcar_2to10keV	xray_boxcar_0p5to2keV	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2654	1.182028	0.9006	1.408	nan	nan	nan	nan	4635.3	669.3	5398.7	246.7	9401.400000000001	364.8	13402.0	529.4	12008.0	1904.0	nan	nan	nan	nan	24679.0	8774.0	45754.0	6543.0	120900.0	14270.0	495250.0	204000.0	nan	nan	nan	nan	nan	nan	nan	nan
2660	0.9287403	1.317	1.2069999999999999	nan	nan	nan	nan	11668.0	742.1	18432.0	331.8	25050.0	420.8	27469.0	560.4	32628.0	1824.0	52594.0	4635.0	42705.0	7138.0	50197.0	8875.0	103280.0	7126.0	161890.0	15220.0	528760.0	147000.0	nan	nan	nan	nan	nan	nan	nan	nan
2667	0.1100022	25.25	95.72	92579.0	2590.0	100030.0	1702.0	144260.0	2438.0	250830.0	1154.0	471680.0	1651.0	756620.0	2346.0	899970.0	6930.0	1014500.0	7986.0	1273000.0	12910.0	1477000.0	16290.0	1114900.0	28990.0	1411300.0	38110.0	3620000.0	189300.0	5876800.0	1237000.0	nan	nan	nan	nan	nan	nan
2673	0.4239	1.868	6.329000000000001	nan	nan	nan	nan	11349.0	744.5	17022.0	323.40000000000003	33481.0	475.4	50600.0	667.9000000000001	73265.0	2169.0	106590.0	7371.0	128110.00000000001	12430.0	179330.0	15760.0	158210.0	8069.000000000001	132560.0	13520.0	635700.0	177800.0	nan	nan	nan	nan	nan	nan	nan	nan
2675	0.4218133	1.105	3.392	17259.0	1304.0	25242.0	1207.0	24309.0	977.1999999999999	30542.0	409.3	37598.0	503.8	44074.0	643.5	51654.0	2051.0	68302.0	4174.0	82420.0	6405.0	112450.0	8857.0	182480.0	8577.0	222450.0	15130.0	510540.0	208300.0	nan	nan	nan	nan	nan	nan	nan	nan
2686	0.8068882	0.5139	1.4829999999999999	nan	nan	nan	nan	nan	nan	922.1700000000001	150.9	3301.8	250.3	12878.0	408.2	20872.0	1350.0	37606.0	4089.0000000000005	46019.0	6396.0	63725.0	8940.0	89542.0	6895.0	89130.0	12480.0	386970.0	154200.0	nan	nan	nan	nan	nan	nan	nan	nan
2691	0.8237698	1.8010000000000002	8.944	nan	nan	nan	nan	1376.8	573.2	3378.7	222.0	10369.0	374.3	24561.0	599.3000000000001	38141.0	2144.0	67067.0	4135.0	77004.0	6381.0	111530.0	8968.0	172830.0	8814.0	182990.0	16470.0	518250.0	153500.0	nan	nan	nan	nan	nan	nan	nan	nan
2693	0.3216157	1.984	1.3760000000000001	nan	nan	13305.0	1148.0	67203.0	1579.0	99609.0	717.1999999999999	137650.0	881.0	146360.0	1112.0	228180.0	3582.0	193590.0	4778.0	283540.0	7266.0	473640.0	9196.0	1016800.0	26440.0	1554600.0	38870.0	3072300.0	139900.0	5166100.0	935900.0	nan	nan	nan	nan	nan	nan
2700	0.277063	8.73	18.02	nan	nan	nan	nan	2545.7000000000003	695.2	9810.5	310.0	35813.0	544.4	60445.0	797.9000000000001	89374.0	2690.0	147000.0	7423.0	198880.0	12550.0	303400.0	15770.0	193210.0	9274.0	199540.0	15960.0	965890.0	166500.0	2739200.0	1276000.0	nan	nan	nan	nan	nan	nan
2702	0.4836612	0.8755	1.82	nan	nan	nan	nan	2683.7	667.4	5746.7	256.90000000000003	16893.0	425.70000000000005	31236.0	649.7	44997.0	2241.0	68584.0	7385.0	112480.0	12510.0	200070.0	15720.0	228890.0	9384.0	245490.0	15470.0	591850.0	151300.0	nan	nan	nan	nan	nan	nan	nan	nan
2706	1.103557	1.1039999999999999	7.13	21608.0	1473.0	59731.0	1544.0	56380.0	1387.0	61896.0	550.9	80095.0	672.8	81712.0	792.6	76141.0	2200.0	91400.0	4162.0	92563.0	6498.0	121880.0	8854.0	175080.0	8229.0	254000.0	16760.0	613170.0	171500.0	nan	nan	nan	nan	nan	nan	nan	nan
2707	0.72596645	2.1310000000000002	2.3280000000000003	29645.0	1672.0	176140.0	2312.0	365890.0	3403.0	516590.00000000006	1550.0	545010.0	1690.0	576180.0	1959.0	651690.0	5148.0	652730.0	5379.0	679550.0	8029.0	780550.0	9467.0	1209000.0	31430.0	1712500.0	41100.0	4175000.0	143600.0	11701000.0	952800.0	nan	nan	nan	nan	nan	nan
2708	1.016392	0.995	3.262	17889.0	1273.0	45529.0	1295.0	52957.0	1382.0	62266.0	560.4	75641.0	673.2	69696.0	787.6	75427.0	2353.0	94639.0	4696.0	92769.0	7413.0	136780.0	8986.0	248670.0	9947.0	319170.0	16920.0	1092400.0	155200.0	nan	nan	nan	nan	nan	nan	nan	nan
